iter	Quantile:alpha=0.5
0	0.7061512857
1	0.6933021283
2	0.6801623225
3	0.6664442832
4	0.6545207136
5	0.642820932
6	0.6316002659
7	0.621323778
8	0.6112378633
9	0.6024342412
10	0.5937503941
11	0.5864468351
12	0.5784157513
13	0.5708687674
14	0.5640782112
15	0.5576943883
16	0.5513181742
17	0.5450746548
18	0.5389333156
19	0.5335951254
20	0.5283491789
21	0.5236957454
22	0.5194486173
23	0.5155499765
24	0.5119802848
25	0.508567107
26	0.5053461778
27	0.5021494315
28	0.4995091334
29	0.4967744802
30	0.4941366736
31	0.4919480686
32	0.4896589694
33	0.487458077
34	0.4853395898
35	0.4834252698
36	0.4814224825
37	0.4794500465
38	0.4777603987
39	0.4761723382
40	0.4749394531
41	0.4734860206
42	0.4720040523
43	0.470804005
44	0.4694970197
45	0.4682072083
46	0.4671673368
47	0.4658421729
48	0.4647619923
49	0.4639128859
50	0.4631594192
51	0.462405262
52	0.4616250965
53	0.4607352636
54	0.4598807423
55	0.4590934233
56	0.4581536235
57	0.457554515
58	0.4568952814
59	0.4562804696
60	0.455727923
61	0.4551976141
62	0.4548119826
63	0.4542274606
64	0.4535576227
65	0.4528889595
66	0.4524808725
67	0.4517936686
68	0.4513224549
69	0.4508640009
70	0.4505485333
71	0.4502302306
72	0.4498576154
73	0.4495053091
74	0.4490768195
75	0.4485936138
76	0.4480588203
77	0.4475839418
78	0.4471011678
79	0.446846037
80	0.4465040304
81	0.446258774
82	0.4460152433
83	0.4456543846
84	0.4453947093
85	0.4449828926
86	0.4447206478
87	0.4444189149
88	0.4440778013
89	0.4438427743
90	0.4435341844
91	0.4431969874
92	0.4427958348
93	0.4425453778
94	0.4423292468
95	0.4419725998
96	0.4418050766
97	0.4414333018
98	0.4412336931
99	0.4410126887
100	0.4407521282
101	0.4405141205
102	0.4403384907
103	0.4400943245
104	0.4397524949
105	0.4395320367
106	0.4393733124
107	0.439235027
108	0.43907781
109	0.4388452902
110	0.4386244776
111	0.4384676581
112	0.4381982581
113	0.4377860616
114	0.4376281606
115	0.4373875593
116	0.437059659
117	0.4368064226
118	0.4365342362
119	0.4362626176
120	0.4359801134
121	0.435838216
122	0.435597742
123	0.4352406262
124	0.434976856
125	0.4346268784
126	0.4344285817
127	0.4341385604
128	0.4339370552
129	0.4337275603
130	0.4334879433
131	0.433364538
132	0.4330058443
133	0.4327573441
134	0.4323276435
135	0.4321606984
136	0.4319396793
137	0.4315477404
138	0.4311439749
139	0.4309893254
