iter	Passed	Remaining
0	12	37018
1	24	36351
2	33	33701
3	45	34037
4	55	33300
5	70	35065
6	80	34350
7	90	33847
8	104	34603
9	117	35161
10	129	35121
11	141	35158
12	153	35313
13	166	35454
14	188	37585
15	201	37546
16	212	37300
17	218	36187
18	228	35910
19	236	35284
20	248	35204
21	255	34588
22	264	34199
23	271	33671
24	280	33320
25	287	32868
26	296	32615
27	303	32228
28	312	32046
29	321	31783
30	329	31520
31	336	31240
32	344	30981
33	352	30720
34	361	30617
35	369	30463
36	378	30337
37	386	30154
38	394	29919
39	401	29695
40	408	29488
41	415	29291
42	426	29307
43	437	29388
44	446	29297
45	455	29264
46	463	29097
47	471	29025
48	479	28881
49	488	28809
50	495	28676
51	505	28667
52	512	28518
53	522	28506
54	530	28395
55	537	28273
56	545	28145
57	553	28088
58	561	27969
59	569	27916
60	577	27837
61	586	27783
62	594	27705
63	602	27645
64	610	27559
65	618	27495
66	625	27396
67	635	27399
68	644	27362
69	651	27281
70	660	27229
71	667	27152
72	675	27066
73	682	26998
74	690	26935
75	698	26890
76	708	26894
77	716	26825
78	724	26795
79	733	26765
80	746	26903
81	756	26922
82	766	26925
83	781	27121
84	789	27077
85	797	27030
86	805	26969
87	813	26905
88	821	26865
89	829	26813
90	839	26827
91	849	26840
92	859	26872
93	866	26792
94	875	26767
95	882	26705
96	891	26669
97	898	26597
98	906	26572
99	914	26515
100	923	26496
101	930	26440
102	939	26414
103	947	26375
104	956	26368
105	963	26307
106	972	26280
107	979	26231
108	987	26191
109	994	26139
110	1003	26121
111	1010	26067
112	1019	26034
113	1025	25972
114	1034	25950
115	1041	25905
116	1051	25904
117	1060	25907
118	1069	25881
119	1075	25820
120	1084	25795
121	1091	25741
122	1099	25724
123	1106	25673
124	1117	25699
125	1128	25750
126	1136	25703
127	1144	25670
128	1151	25634
129	1159	25607
130	1167	25565
131	1175	25531
132	1182	25489
133	1191	25490
134	1200	25472
135	1208	25459
136	1216	25417
137	1224	25387
138	1231	25351
139	1241	25363
140	1251	25376
141	1262	25405
142	1271	25403
143	1279	25379
144	1286	25325
145	1293	25290
146	1301	25250
147	1316	25361
148	1325	25361
149	1328	25247
150	1337	25230
151	1345	25216
152	1354	25206
153	1362	25179
154	1370	25162
155	1379	25140
156	1388	25137
157	1396	25121
158	1406	25138
159	1416	25138
160	1425	25129
161	1433	25107
162	1442	25108
163	1452	25121
164	1461	25103
165	1470	25104
166	1477	25067
167	1487	25074
168	1495	25047
169	1503	25032
170	1512	25016
171	1520	25003
172	1532	25040
173	1542	25058
174	1554	25090
175	1567	25145
176	1570	25053
177	1584	25120
178	1595	25149
179	1603	25125
180	1615	25154
181	1626	25187
182	1649	25389
183	1661	25430
184	1671	25433
185	1682	25455
186	1694	25487
187	1704	25491
188	1716	25525
189	1729	25574
190	1738	25567
191	1746	25546
192	1757	25554
193	1764	25516
194	1773	25514
195	1781	25483
196	1790	25477
197	1798	25455
198	1810	25477
199	1818	25457
200	1826	25432
201	1833	25398
202	1841	25376
203	1850	25357
204	1858	25344
205	1868	25336
206	1878	25340
207	1888	25345
208	1895	25313
209	1905	25316
210	1913	25296
211	1922	25283
212	1931	25266
213	1940	25260
214	1951	25283
215	1959	25260
216	1970	25268
217	1978	25251
218	1987	25235
219	1997	25241
220	2006	25230
221	2016	25236
222	2026	25241
223	2035	25231
224	2046	25234
225	2054	25212
226	2066	25240
227	2076	25242
228	2085	25238
229	2094	25223
230	2102	25207
231	2111	25198
232	2119	25169
233	2128	25159
234	2136	25133
235	2146	25134
236	2154	25120
237	2163	25112
238	2172	25102
239	2182	25096
240	2193	25105
241	2200	25077
242	2210	25074
243	2218	25058
244	2227	25045
245	2235	25027
246	2245	25031
247	2254	25015
248	2262	24998
249	2271	24988
250	2279	24963
251	2288	24956
252	2296	24939
253	2308	24952
254	2317	24947
255	2325	24929
256	2334	24917
257	2342	24900
258	2351	24889
259	2360	24872
260	2368	24858
261	2377	24843
262	2387	24844
263	2395	24821
264	2403	24802
265	2410	24775
266	2419	24767
267	2427	24745
268	2437	24744
269	2446	24732
270	2455	24729
271	2463	24708
272	2472	24701
273	2483	24708
274	2491	24688
275	2500	24682
276	2508	24659
277	2516	24643
278	2526	24638
279	2534	24624
280	2543	24607
281	2550	24585
282	2559	24576
283	2567	24555
284	2575	24536
285	2583	24513
286	2593	24520
287	2601	24501
288	2610	24491
289	2618	24473
290	2628	24465
291	2635	24445
292	2644	24429
293	2652	24414
294	2662	24416
295	2670	24396
296	2679	24383
297	2687	24365
298	2697	24364
299	2704	24343
300	2713	24329
301	2722	24322
302	2731	24312
303	2740	24301
304	2747	24279
305	2757	24273
306	2764	24247
307	2773	24237
308	2780	24215
309	2790	24210
310	2800	24216
311	2808	24197
312	2817	24185
313	2824	24162
314	2833	24153
315	2840	24129
316	2849	24119
317	2856	24094
318	2868	24105
319	2877	24096
320	2884	24074
321	2892	24053
322	2901	24046
323	2911	24042
324	2918	24023
325	2926	24005
326	2935	23997
327	2943	23979
328	2951	23960
329	2961	23959
330	2968	23934
331	2976	23923
332	2984	23903
333	2999	23941
334	3007	23925
335	3015	23910
336	3023	23895
337	3030	23871
338	3039	23856
339	3046	23833
340	3054	23818
341	3062	23802
342	3072	23797
343	3079	23778
344	3087	23757
345	3094	23737
346	3103	23726
347	3111	23712
348	3120	23701
349	3127	23680
350	3136	23674
351	3146	23671
352	3154	23657
353	3162	23638
354	3171	23629
355	3179	23610
356	3187	23599
357	3195	23584
358	3204	23575
359	3213	23568
360	3222	23560
361	3230	23544
362	3238	23529
363	3246	23511
364	3254	23497
365	3262	23480
366	3271	23472
367	3283	23481
368	3291	23466
369	3300	23458
370	3308	23444
371	3317	23438
372	3324	23417
373	3334	23414
374	3342	23394
375	3351	23389
376	3358	23366
377	3366	23353
378	3374	23337
379	3382	23324
380	3391	23312
381	3400	23305
382	3409	23299
383	3420	23299
384	3429	23291
385	3436	23270
386	3444	23257
387	3451	23237
388	3460	23228
389	3468	23213
390	3477	23202
391	3485	23191
392	3494	23181
393	3502	23166
394	3511	23155
395	3518	23138
396	3527	23126
397	3534	23108
398	3544	23102
399	3553	23096
400	3561	23084
401	3569	23066
402	3576	23048
403	3584	23032
404	3592	23020
405	3599	22999
406	3607	22984
407	3614	22963
408	3625	22965
409	3633	22950
410	3641	22938
411	3649	22921
412	3656	22906
413	3663	22886
414	3674	22888
415	3683	22878
416	3692	22873
417	3700	22860
418	3709	22847
419	3717	22837
420	3725	22821
421	3734	22813
422	3741	22795
423	3750	22787
424	3759	22778
425	3767	22766
426	3775	22749
427	3783	22736
428	3790	22719
429	3799	22709
430	3807	22693
431	3816	22686
432	3824	22674
433	3833	22667
434	3842	22655
435	3850	22641
436	3857	22624
437	3866	22618
438	3875	22607
439	3883	22593
440	3893	22590
441	3900	22572
442	3907	22552
443	3915	22537
444	3922	22521
445	3932	22516
446	3939	22502
447	3948	22490
448	3956	22479
449	3964	22465
