iter	Quantile:alpha=0.5
0	0.7093152478
1	0.695883173
2	0.6823172895
3	0.6701028495
4	0.6581694
5	0.6465979797
6	0.6355254754
7	0.6256281083
8	0.6160423709
9	0.6064236639
10	0.597771237
11	0.5890923455
12	0.5805051978
13	0.5729981137
14	0.5655263408
15	0.5594107159
16	0.5534231594
17	0.5490921059
18	0.5440557666
19	0.5382212558
20	0.5331936738
21	0.5281129088
22	0.5234731397
23	0.5189600099
24	0.5152115634
25	0.5119241801
26	0.5088848036
27	0.5061541434
28	0.5028381114
29	0.4998132572
30	0.4969476359
31	0.4944072708
32	0.49154443
33	0.4892213219
34	0.4874101607
35	0.4852770269
36	0.4830960069
37	0.4810340747
38	0.4787505645
39	0.4770308679
40	0.4753339939
41	0.4735490938
42	0.471864863
43	0.4703134167
44	0.4689161235
45	0.4677447456
46	0.4665564351
47	0.4653112835
48	0.4642459196
49	0.4631676393
50	0.4621792572
51	0.4613086491
52	0.4603347348
53	0.4595846786
54	0.4588099648
55	0.4580510176
56	0.4572435174
57	0.4562668194
58	0.4555038508
59	0.4548292629
60	0.4541398067
61	0.453673121
62	0.4531277986
63	0.4527602106
64	0.4522665842
65	0.4517527892
66	0.4512212861
67	0.4507373334
68	0.4501722397
69	0.449671593
70	0.4488977346
71	0.4484012131
72	0.4480878259
73	0.4476500688
74	0.4473561333
75	0.4470277636
76	0.4465418565
77	0.4462663338
78	0.4459132248
79	0.4454976053
80	0.4451404343
81	0.4447159737
82	0.4443931414
83	0.4438765883
84	0.4435726396
85	0.4432714791
86	0.4430430609
87	0.4426743677
88	0.4423423907
89	0.4416825204
90	0.4411885584
91	0.4409308499
92	0.440560129
93	0.4402091967
94	0.4399827269
95	0.4394703817
96	0.4392183295
97	0.4387584934
98	0.4385116378
99	0.4382079866
100	0.4379457507
101	0.4377729613
102	0.437371522
103	0.4371362539
104	0.4366271234
105	0.4363924048
106	0.4361986394
107	0.4357231829
108	0.4355462859
109	0.435279354
110	0.4349283645
111	0.4346550914
112	0.434462317
113	0.4341663302
114	0.4339043255
115	0.4337017211
116	0.4335062485
117	0.4332459785
118	0.4329349651
119	0.4327417019
120	0.4325075464
121	0.4323256035
122	0.4320554502
